#,Creator Handle,Brands Collaborated With,Full Name,Verified,Business / Professional,Total Followers,Following,Total Posts,Avg Likes / Post,Avg Comments / Post,Avg Profile ER%,Instagram Profile URL
44,@nick.shayden,Gully Labs,Nishchaiy Kamra,Yes,Yes,40713,997,341,2462,12,6.08%,https://www.instagram.com/nick.shayden/
45,@adityab27,"Comet, Gully Labs",Aditya Bhalla,Yes,Yes,40490,1183,828,4895,97,12.33%,https://www.instagram.com/adityab27/
46,@veronicasbombay,Comet,Veronica’s,No,Yes,39041,44,707,6645,74,17.21%,https://www.instagram.com/veronicasbombay/
47,@sooka.mag,Gully Labs,SOOKA,No,Yes,38093,128,402,42061,138,110.78%,https://www.instagram.com/sooka.mag/
48,@yashvi.bhaia,Gully Labs,yashvi bhaia,No,Yes,32650,1270,265,5999,96,18.67%,https://www.instagram.com/yashvi.bhaia/
49,@vagavoom,Gully Labs,Vani Verma,No,Yes,30734,3141,1652,1423,36,4.75%,https://www.instagram.com/vagavoom/
50,@odd.noteven,Comet,Odd Not Even,Yes,Yes,26563,2,106,4942,77,18.89%,https://www.instagram.com/odd.noteven/
51,@itspalakandmahir,Gully Labs,Palak & Mahir,No,Yes,23571,8,220,1781,6,7.58%,https://www.instagram.com/itspalakandmahir/
52,@ghar.1964,Gully Labs,GHAR 1964 | Stay & cafe | Sojha | Himachal📍,No,Yes,22188,81,423,6547,101,29.96%,https://www.instagram.com/ghar.1964/
53,@eternalramblings,Gully Labs,Mayank Mittal | KAPOW! | EternalRamblings,No,Yes,20485,2343,477,421,42,2.26%,https://www.instagram.com/eternalramblings/
54,@kevalnova,Gully Labs,Keval Patel,Yes,Yes,19340,264,214,2284,50,12.07%,https://www.instagram.com/kevalnova/
55,@jhillmildhoot,Comet,jhillmildhoot,No,Yes,18950,754,199,1457,48,7.94%,https://www.instagram.com/jhillmildhoot/
56,@akshay_freestyle,Gully Labs,Akshay Yadav |Football Freestyle,No,Yes,17820,1366,1045,591,41,3.55%,https://www.instagram.com/akshay_freestyle/
57,@gullylabs.global,Gully Labs,gullylabs.global,No,Yes,17077,28,64,1648,20,9.77%,https://www.instagram.com/gullylabs.global/
58,@itskapowtime,Gully Labs,KAPOW! (कपाओ!) 💣,Yes,Yes,15262,284,659,2148,16,14.18%,https://www.instagram.com/itskapowtime/
59,@saffaaah,Gully Labs,saffah👼🏽 | presenter & content creator,No,Yes,11927,4043,132,3,20,0.19%,https://www.instagram.com/saffaaah/
60,@dominasianmagazine,Gully Labs,DominAsian Magazine,No,Yes,10868,1971,470,567,11,5.32%,https://www.instagram.com/dominasianmagazine/
61,@lambo.drive,Gully Labs,Janesh Arya,Yes,Yes,10604,5036,63,1815,90,17.96%,https://www.instagram.com/lambo.drive/
62,@thecometnucleus,Comet,Comet Nucleus,No,Yes,8495,1,33,5534,73,66.00%,https://www.instagram.com/thecometnucleus/
63,@snkrhood.in,Gully Labs,SNKRHOOD,No,Yes,6325,3,211,675,5,10.75%,https://www.instagram.com/snkrhood.in/
64,@ukato.music,Gully Labs,UKato | Utkarsh Singh,No,Yes,5546,1985,81,1590,43,29.44%,https://www.instagram.com/ukato.music/
65,@delhiartweekend,Gully Labs,Delhi Art Weekend,Yes,Yes,4419,41,146,103,0,2.33%,https://www.instagram.com/delhiartweekend/
66,@amra.ldn,Gully Labs,AMRA,No,Yes,3966,2,19,509,16,13.24%,https://www.instagram.com/amra.ldn/
67,@gurshaabedi,Gully Labs,Gurshaa,No,Yes,3788,3399,447,2074,108,57.60%,https://www.instagram.com/gurshaabedi/
68,@utkgpt,Comet,Utkarsh Gupta,Yes,No,3051,1262,5,8079,120,268.73%,https://www.instagram.com/utkgpt/
69,@norbu.noises,Gully Labs,Norbu,No,Yes,1980,999,33,448,8,23.03%,https://www.instagram.com/norbu.noises/
70,@ofthewilderness.otw,Gully Labs,Of the Wilderness,No,Yes,857,15,60,50223,273,5892.18%,https://www.instagram.com/ofthewilderness.otw/
71,@quatre.creators,Gully Labs,Quatre,No,Yes,417,4,27,356,63,100.48%,https://www.instagram.com/quatre.creators/
72,@capsulindia,Comet,CAPSUL,Yes,No,0,0,0,2276,37,0.00%,https://www.instagram.com/capsulindia/
73,@amazonfashionin,Gully Labs,Amazon Fashion India,Yes,No,0,0,0,421,11,0.00%,https://www.instagram.com/amazonfashionin/
74,@bombaysweetshop,Gully Labs,Bombay Sweet Shop,Yes,No,0,0,0,694,27,0.00%,https://www.instagram.com/bombaysweetshop/
75,@casabacardiin,Comet,Casa Bacardi,No,No,0,0,0,8370,45,0.00%,https://www.instagram.com/casabacardiin/
76,@cmf.tech,Gully Labs,CMF by Nothing,Yes,No,0,0,0,4529,74,0.00%,https://www.instagram.com/cmf.tech/
77,@districtupdates,Gully Labs,District Updates,Yes,No,0,0,0,511,8,0.00%,https://www.instagram.com/districtupdates/
78,@evaxfried,Gully Labs,Eva Gurung🫧,No,No,0,0,0,805,42,0.00%,https://www.instagram.com/evaxfried/
79,@indiansneakerfestival,Comet,Indian Sneaker Festival,Yes,No,0,0,0,1702,31,0.00%,https://www.instagram.com/indiansneakerfestival/
80,@kanchhiiii,Gully Labs,Kanishk Anand,Yes,No,0,0,0,8133,31,0.00%,https://www.instagram.com/kanchhiiii/
81,@kommunedelhincr,Gully Labs,Kommune Delhi-NCR,No,No,0,0,0,910,30,0.00%,https://www.instagram.com/kommunedelhincr/
82,@medusaindia,Gully Labs,Medusa,Yes,No,0,0,0,439,8,0.00%,https://www.instagram.com/medusaindia/
83,@kauraverse,Gully Labs,KAURAVERSE,No,No,0,0,0,10303,112,0.00%,https://www.instagram.com/kauraverse/
84,@leada.in,Gully Labs,LEAD-A,No,No,0,0,0,5444,64,0.00%,https://www.instagram.com/leada.in/
85,@niviasports,Gully Labs,Nivia Sports,Yes,No,0,0,0,2579,45,0.00%,https://www.instagram.com/niviasports/
86,@myntra,"Comet, Gully Labs",MYNTRA,Yes,No,0,0,0,4981,227,0.00%,https://www.instagram.com/myntra/
87,@rahasyafragrances,Gully Labs,Rahasya Fragrances,No,No,0,0,0,3690,38,0.00%,https://www.instagram.com/rahasyafragrances/
88,@parvaazmusic,Gully Labs,parvaaz,Yes,No,0,0,0,1515,26,0.00%,https://www.instagram.com/parvaazmusic/
89,@skecherscricket,Skechers India,Skechers Cricket,No,No,0,0,0,450,14,0.00%,https://www.instagram.com/skecherscricket/
90,@thethirdspacedelhi,Gully Labs,Third Space,No,No,0,0,0,1339,14,0.00%,https://www.instagram.com/thethirdspacedelhi/
91,@yuzenmatcha,Gully Labs,Yūzen Matcha 友禅抹茶,No,No,0,0,0,447,6,0.00%,https://www.instagram.com/yuzenmatcha/
