#,Creator Handle,Creator Tier / Size,Brands Collaborated With,Full Name,Verified,Business / Professional,Total Followers,Following,Total Posts,Avg Likes / Post,Avg Comments / Post,Avg Profile ER%,Instagram Profile URL
1,@pranwesha,🚀 Macro Creator (100K - 1M),GRT Oriana,pranwesha,No,No,512000,2054,2969,30413,54,5.95%,https://www.instagram.com/pranwesha/
2,@adhvithi_shetty_official,🚀 Macro Creator (100K - 1M),GRT Oriana,adhvithi_shetty_official,No,No,411000,2661,4145,3,21,0.01%,https://www.instagram.com/adhvithi_shetty_official/
3,@grt.diamonds,🚀 Macro Creator (100K - 1M),GRT Oriana,grt.diamonds,No,No,280000,4,951,9640,23,3.45%,https://www.instagram.com/grt.diamonds/
4,@spoorthi___ramitha,✨ Mid-Tier Creator (50K - 100K),GRT Oriana,spoorthi___ramitha,No,No,99000,90,171,53766,27,54.34%,https://www.instagram.com/spoorthi___ramitha/
