#,Brand Name,State / Origin (HQ),Total Collab Posts (1-Yr),Total Unique Creators,Tier 1 (Toggle ON + Boosted),Tier 2 (Toggle ON + Organic),Tier 3 (Toggle OFF + Boosted),Tier 4 (Noise / Unboosted),Total High-Intent Paid Posts,High-Intent Paid %,Avg Estimated Views,Avg Creator Followers,Avg Creator ER%,Top Creator Samples
1,Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",110,69,1 posts (1 creators),5 posts (5 creators),—,104 posts (64 creators),6,5.5%,313637,335654,68.05%,"@itskivitime, @winonakicks, @yashvi.bhaia, @sameoldseth"
2,Skechers India,Pan-India / Maharashtra (HQ: Mumbai),17,11,—,6 posts (5 creators),—,11 posts (9 creators),6,35.3%,3150190,16540866,0.83%,"@surya_14kumar, @kartikaaryan, @ananyapanday, @alayaf"
3,Comet,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",20,13,—,—,—,20 posts (13 creators),0,0.0%,486514,540509,40.78%,"@thevishnukaushal, @farakwear, @unoindiaofficial, @myntra"
