#,Creator Handle,Creator Tier / Size,Brands Collaborated With,Full Name,Verified,Business / Professional,Total Followers,Following,Total Posts,Avg Likes / Post,Avg Comments / Post,Avg Profile ER%,Instagram Profile URL
35,@eeeeshika,🚀 Macro Creator (100K - 1M),Gully Labs,Eshika Tahilramani,No,Yes,140884,1339,903,2641,15,1.89%,https://www.instagram.com/eeeeshika/
36,@peachrinq,🚀 Macro Creator (100K - 1M),Gully Labs,Shaima,No,Yes,138345,675,257,3976,41,2.90%,https://www.instagram.com/peachrinq/
37,@subkocoffee,🚀 Macro Creator (100K - 1M),Gully Labs,Subko Coffee Roasters,Yes,Yes,119642,340,857,1855,14,1.56%,https://www.instagram.com/subkocoffee/
38,@rishiudapurkar,🚀 Macro Creator (100K - 1M),Gully Labs,Rishi Udapurkar,Yes,Yes,113651,800,216,4490,21,3.97%,https://www.instagram.com/rishiudapurkar/
39,@unoindiaofficial,🚀 Macro Creator (100K - 1M),Comet,UNO India,Yes,Yes,110348,1,457,14560,160,13.34%,https://www.instagram.com/unoindiaofficial/
40,@bombaysweetshop,🚀 Macro Creator (100K - 1M),Gully Labs,bombaysweetshop,Yes,No,108000,0,0,694,27,0.67%,https://www.instagram.com/bombaysweetshop/
41,@nirobrothers,✨ Mid-Tier Creator (50K - 100K),Gully Labs,Nirvaan and Vedant,No,Yes,96835,2,22,7841,116,8.22%,https://www.instagram.com/nirobrothers/
42,@experiencebroadway_,✨ Mid-Tier Creator (50K - 100K),Gully Labs,Broadway,Yes,Yes,95018,116,783,598,15,0.65%,https://www.instagram.com/experiencebroadway_/
43,@kauraverse,✨ Mid-Tier Creator (50K - 100K),Gully Labs,kauraverse,No,No,93000,0,0,10303,112,11.20%,https://www.instagram.com/kauraverse/
44,@niviasports,✨ Mid-Tier Creator (50K - 100K),Gully Labs,niviasports,Yes,No,90000,0,0,2579,45,2.92%,https://www.instagram.com/niviasports/
45,@nirvainnn,✨ Mid-Tier Creator (50K - 100K),Gully Labs,Nirvain,No,Yes,82093,336,362,6270,53,7.70%,https://www.instagram.com/nirvainnn/
46,@ex_dee_anas,✨ Mid-Tier Creator (50K - 100K),Gully Labs,Md Anas,No,Yes,76988,5106,821,1738,32,2.30%,https://www.instagram.com/ex_dee_anas/
47,@farakwear,✨ Mid-Tier Creator (50K - 100K),Comet,FARAK | फरक,Yes,Yes,70746,41,463,23278,178,33.16%,https://www.instagram.com/farakwear/
48,@illuminatedmilk,✨ Mid-Tier Creator (50K - 100K),Gully Labs,Shachi,Yes,Yes,63655,2680,358,2046,65,3.32%,https://www.instagram.com/illuminatedmilk/
49,@capsulindia,✨ Mid-Tier Creator (50K - 100K),Comet,capsulindia,Yes,No,61000,0,0,2276,37,3.79%,https://www.instagram.com/capsulindia/
50,@harshiitarora,✨ Mid-Tier Creator (50K - 100K),Gully Labs,Harshit Arora,Yes,Yes,55628,1140,649,254798,2153,461.91%,https://www.instagram.com/harshiitarora/
51,@negiraman,🎯 Micro Creator (10K - 50K),Gully Labs,Raman Negi,Yes,Yes,47009,1834,193,912,25,1.99%,https://www.instagram.com/negiraman/
52,@talesofcityofficial,🎯 Micro Creator (10K - 50K),Gully Labs,Tales of City ™,Yes,Yes,44037,6,540,2686,163,6.47%,https://www.instagram.com/talesofcityofficial/
53,@evaxfried,🎯 Micro Creator (10K - 50K),Gully Labs,evaxfried,No,No,43000,0,0,805,42,1.97%,https://www.instagram.com/evaxfried/
54,@indiansneakerfestival,🎯 Micro Creator (10K - 50K),Comet,indiansneakerfestival,Yes,No,43000,0,0,1702,31,4.03%,https://www.instagram.com/indiansneakerfestival/
55,@casabacardiin,🎯 Micro Creator (10K - 50K),Comet,casabacardiin,No,No,42000,0,0,8370,45,20.04%,https://www.instagram.com/casabacardiin/
56,@nick.shayden,🎯 Micro Creator (10K - 50K),Gully Labs,Nishchaiy Kamra,Yes,Yes,40713,997,341,2462,12,6.08%,https://www.instagram.com/nick.shayden/
57,@adityab27,🎯 Micro Creator (10K - 50K),"Comet, Gully Labs",Aditya Bhalla,Yes,Yes,40490,1183,828,4895,97,12.33%,https://www.instagram.com/adityab27/
58,@veronicasbombay,🎯 Micro Creator (10K - 50K),Comet,Veronica’s,No,Yes,39041,44,707,6645,74,17.21%,https://www.instagram.com/veronicasbombay/
59,@medusaindia,🎯 Micro Creator (10K - 50K),Gully Labs,medusaindia,Yes,No,39000,0,0,439,8,1.15%,https://www.instagram.com/medusaindia/
60,@sooka.mag,🎯 Micro Creator (10K - 50K),Gully Labs,SOOKA,No,Yes,38093,128,402,42061,138,110.78%,https://www.instagram.com/sooka.mag/
61,@yashvi.bhaia,🎯 Micro Creator (10K - 50K),Gully Labs,yashvi bhaia,No,Yes,32650,1270,265,5999,96,18.67%,https://www.instagram.com/yashvi.bhaia/
62,@vagavoom,🎯 Micro Creator (10K - 50K),Gully Labs,Vani Verma,No,Yes,30734,3141,1652,1423,36,4.75%,https://www.instagram.com/vagavoom/
63,@parvaazmusic,🎯 Micro Creator (10K - 50K),Gully Labs,parvaazmusic,Yes,No,30000,0,0,1515,26,5.14%,https://www.instagram.com/parvaazmusic/
64,@skecherscricket,🎯 Micro Creator (10K - 50K),Skechers India,skecherscricket,No,No,28000,0,0,450,14,1.66%,https://www.instagram.com/skecherscricket/
65,@odd.noteven,🎯 Micro Creator (10K - 50K),Comet,Odd Not Even,Yes,Yes,26563,2,106,4942,77,18.89%,https://www.instagram.com/odd.noteven/
66,@rahasyafragrances,🎯 Micro Creator (10K - 50K),Gully Labs,rahasyafragrances,No,No,25000,0,0,3690,38,14.91%,https://www.instagram.com/rahasyafragrances/
67,@itspalakandmahir,🎯 Micro Creator (10K - 50K),Gully Labs,Palak & Mahir,No,Yes,23571,8,220,1781,6,7.58%,https://www.instagram.com/itspalakandmahir/
68,@ghar.1964,🎯 Micro Creator (10K - 50K),Gully Labs,GHAR 1964 | Stay & cafe | Sojha | Himachal📍,No,Yes,22188,81,423,6547,101,29.96%,https://www.instagram.com/ghar.1964/
69,@eternalramblings,🎯 Micro Creator (10K - 50K),Gully Labs,Mayank Mittal | KAPOW! | EternalRamblings,No,Yes,20485,2343,477,421,42,2.26%,https://www.instagram.com/eternalramblings/
70,@kevalnova,🎯 Micro Creator (10K - 50K),Gully Labs,Keval Patel,Yes,Yes,19340,264,214,2284,50,12.07%,https://www.instagram.com/kevalnova/
71,@jhillmildhoot,🎯 Micro Creator (10K - 50K),Comet,jhillmildhoot,No,Yes,18950,754,199,1457,48,7.94%,https://www.instagram.com/jhillmildhoot/
72,@akshay_freestyle,🎯 Micro Creator (10K - 50K),Gully Labs,Akshay Yadav |Football Freestyle,No,Yes,17820,1366,1045,591,41,3.55%,https://www.instagram.com/akshay_freestyle/
73,@gullylabs.global,🎯 Micro Creator (10K - 50K),Gully Labs,gullylabs.global,No,Yes,17077,28,64,1648,20,9.77%,https://www.instagram.com/gullylabs.global/
74,@itskapowtime,🎯 Micro Creator (10K - 50K),Gully Labs,KAPOW! (कपाओ!) 💣,Yes,Yes,15262,284,659,2148,16,14.18%,https://www.instagram.com/itskapowtime/
